Date : 2021-09-16 21:37:17
Directory : c:\Users\19332\Desktop\呼吸之友
Total : 141 files,  5361 codes, 613 comments, 556 blanks, all 6530 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| miniprogram\pages\record                                                                   |          4 |         84 |         23 |          0 |        107 |
| miniprogram\pages\record3                                                                  |          4 |        814 |         20 |         70 |        904 |
| miniprogram\pages\selectRecord                                                             |          4 |        146 |          3 |         18 |        167 |
| miniprogram\pages\sumRecord                                                                |          4 |        141 |          3 |         17 |        161 |
| miniprogram\pages\sumRecordResult                                                          |          4 |        128 |          3 |         16 |        147 |
| miniprogram\pages\updateRecord                                                             |          4 |        143 |          3 |         18 |        164 |
| miniprogram\pages\updateRecordResult                                                       |          4 |        160 |          3 |         17 |        180 |
| miniprogram\pages\updateRecordSuccess                                                      |          4 |         47 |          3 |         10 |         60 |
| miniprogram\pages\uploadFile                                                               |          4 |        249 |         20 |         13 |        282 |
| miniprogram\styles                                                                         |          1 |         25 |          0 |          6 |         31 |
| miniprogram\utils                                                                          |          1 |         40 |          8 |          3 |         51 |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                   | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\19332\Desktop\呼吸之友\README.md                                                      | Markdown   |          7 |          0 |          6 |         13 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\findLog\config.json                             | JSON       |          6 |          0 |          0 |          6 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\findLog\index.js                                | JavaScript |          9 |         10 |          2 |         21 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\findLog\package.json                            | JSON       |         14 |          0 |          0 |         14 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\getOpenId\config.json                           | JSON       |          6 |          0 |          0 |          6 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\getOpenId\index.js                              | JavaScript |         10 |          4 |          3 |         17 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\getOpenId\package.json                          | JSON       |         14 |          0 |          0 |         14 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\newUser\config.json                             | JSON       |          6 |          0 |          0 |          6 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\newUser\index.js                                | JavaScript |         44 |         12 |          3 |         59 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\newUser\package.json                            | JSON       |         14 |          0 |          0 |         14 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\quickstartFunctions\config.json                 | JSON       |          7 |          0 |          0 |          7 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\quickstartFunctions\createCollection\index.js   | JavaScript |         46 |          7 |          3 |         56 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\quickstartFunctions\getMiniProgramCode\index.js | JavaScript |         15 |          3 |          2 |         20 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\quickstartFunctions\index.js                    | JavaScript |         22 |          1 |          3 |         26 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\quickstartFunctions\package.json                | JSON       |         14 |          0 |          1 |         15 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\quickstartFunctions\selectRecord\index.js       | JavaScript |          8 |          2 |          2 |         12 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\quickstartFunctions\sumRecord\index.js          | JavaScript |         14 |          2 |          2 |         18 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\quickstartFunctions\updateRecord\index.js       | JavaScript |         28 |          2 |          2 |         32 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\submitPassage\config.json                       | JSON       |          6 |          0 |          0 |          6 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\submitPassage\index.js                          | JavaScript |         11 |          2 |          3 |         16 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\submitPassage\package.json                      | JSON       |         14 |          0 |          0 |         14 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\updateLog\config.json                           | JSON       |          6 |          0 |          0 |          6 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\updateLog\index.js                              | JavaScript |         21 |         10 |          2 |         33 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\updateLog\package.json                          | JSON       |         14 |          0 |          0 |         14 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\update\config.json                              | JSON       |          6 |          0 |          0 |          6 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\update\index.js                                 | JavaScript |         19 |         10 |          2 |         31 |
| c:\Users\19332\Desktop\呼吸之友\cloudfunctions\update\package.json                             | JSON       |         14 |          0 |          0 |         14 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\app.js                                             | JavaScript |         12 |          6 |          2 |         20 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\app.json                                           | JSON       |         65 |          0 |          0 |         65 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\app.wxss                                           | CSS        |         13 |          7 |          6 |         26 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\components\RecordAction\RecordAction.js            | JavaScript |         10 |          0 |          0 |         10 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\components\RecordAction\RecordAction.json          | JSON       |          4 |          0 |          0 |          4 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\components\RecordAction\RecordAction.wxml          | wxml       |         10 |          0 |          0 |         10 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\components\RecordAction\RecordAction.wxss          | CSS        |         74 |          0 |         11 |         85 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\components\SearchInput\SearchInput.js              | JavaScript |          8 |         10 |          6 |         24 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\components\SearchInput\SearchInput.json            | JSON       |          4 |          0 |          0 |          4 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\components\SearchInput\SearchInput.less            | Less       |         14 |          0 |          0 |         14 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\components\SearchInput\SearchInput.wxml            | wxml       |          5 |          0 |          2 |          7 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\components\SearchInput\SearchInput.wxss            | CSS        |         14 |          0 |          1 |         15 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\components\cloudTipModal\index.js                  | JavaScript |         29 |          4 |          5 |         38 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\components\cloudTipModal\index.json                | JSON       |          4 |          0 |          0 |          4 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\components\cloudTipModal\index.wxml                | wxml       |         12 |          1 |          1 |         14 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\components\cloudTipModal\index.wxss                | CSS        |         51 |          0 |          6 |         57 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\components\dk-calendar\dk-calendar.js              | JavaScript |        302 |         61 |          8 |        371 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\components\dk-calendar\dk-calendar.json            | JSON       |          4 |          0 |          0 |          4 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\components\dk-calendar\dk-calendar.wxml            | wxml       |         79 |          6 |          0 |         85 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\components\dk-calendar\dk-calendar.wxss            | CSS        |        106 |          6 |         15 |        127 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\envList.js                                         | JavaScript |          6 |          0 |          0 |          6 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\lib\runtime\runtime.js                             | JavaScript |        471 |        129 |        110 |        710 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\createCollection\index.js                    | JavaScript |         20 |         27 |         18 |         65 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\createCollection\index.json                  | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\createCollection\index.wxml                  | wxml       |          7 |          0 |          1 |          8 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\createCollection\index.wxss                  | CSS        |         25 |          0 |          4 |         29 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\deployService\index.js                       | JavaScript |         20 |         28 |         18 |         66 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\deployService\index.json                     | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\deployService\index.wxml                     | wxml       |          9 |          1 |          1 |         11 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\deployService\index.wxss                     | CSS        |         25 |          1 |          4 |         30 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\getMiniProgramCode\index.js                  | JavaScript |         45 |          3 |          6 |         54 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\getMiniProgramCode\index.json                | JSON       |          6 |          0 |          0 |          6 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\getMiniProgramCode\index.wxml                | wxml       |         11 |          0 |          1 |         12 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\getMiniProgramCode\index.wxss                | CSS        |         52 |          0 |          7 |         59 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\getOpenId\index.js                           | JavaScript |         44 |         11 |          6 |         61 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\getOpenId\index.json                         | JSON       |          6 |          0 |          0 |          6 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\getOpenId\index.wxml                         | wxml       |          8 |          0 |          1 |          9 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\getOpenId\index.wxss                         | CSS        |         42 |          0 |          5 |         47 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\home\index.js                                | JavaScript |         20 |         28 |         18 |         66 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\home\index.json                              | JSON       |          6 |          0 |          0 |          6 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\home\index.wxml                              | wxml       |          1 |          0 |          0 |          1 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\home\index.wxss                              | CSS        |          0 |          1 |          0 |          1 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\index\index.js                               | JavaScript |        129 |          7 |          7 |        143 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\index\index.json                             | JSON       |          5 |          0 |          0 |          5 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\index\index.wxml                             | wxml       |         25 |          1 |          7 |         33 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\index\index.wxss                             | CSS        |         78 |          1 |         15 |         94 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\login\index.js                               | JavaScript |         16 |          8 |          0 |         24 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\login\index.json                             | JSON       |          4 |          0 |          0 |          4 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\login\index.wxml                             | wxml       |          1 |          0 |          0 |          1 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\login\index.wxss                             | CSS        |          4 |          0 |          0 |          4 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\index.js                                  | JavaScript |         50 |          9 |          0 |         59 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\index.json                                | JSON       |          4 |          0 |          0 |          4 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\index.less                                | Less       |        119 |          2 |          6 |        127 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\index.wxml                                | wxml       |         70 |          5 |          4 |         79 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\index.wxss                                | CSS        |        117 |          0 |          1 |        118 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\modifyInfo\index.js                       | JavaScript |         66 |          8 |          0 |         74 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\modifyInfo\index.json                     | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\modifyInfo\index.less                     | Less       |         40 |          3 |          4 |         47 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\modifyInfo\index.wxml                     | wxml       |         28 |          0 |          0 |         28 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\my\modifyInfo\index.wxss                     | CSS        |         39 |          0 |          1 |         40 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\index.js                               | JavaScript |         40 |         41 |          1 |         82 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\index.json                             | JSON       |          3 |          0 |          1 |          4 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\index.less                             | Less       |         54 |          1 |          0 |         55 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\index.wxml                             | wxml       |         19 |          2 |          0 |         21 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\index.wxss                             | CSS        |         52 |          0 |          1 |         53 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\paperDetail.js                         | JavaScript |         31 |         12 |          1 |         44 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\paperDetail.json                       | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\paperDetail.less                       | Less       |         65 |          0 |          0 |         65 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\paperDetail.wxml                       | wxml       |         26 |          0 |          0 |         26 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\paperDetail.wxss                       | CSS        |         57 |          0 |          1 |         58 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\paperDetail\paperDetail.js             | JavaScript |         20 |         28 |         18 |         66 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\paper\paperDetail\paperDetail.wxml           | wxml       |          1 |          1 |          1 |          3 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\record3\index.js                             | JavaScript |        359 |         16 |         13 |        388 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\record3\index.json                           | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\record3\index.wxml                           | wxml       |        124 |          3 |          0 |        127 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\record3\index.wxss                           | CSS        |        328 |          1 |         57 |        386 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\record\index.js                              | JavaScript |         54 |         21 |          0 |         75 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\record\index.json                            | JSON       |          5 |          0 |          0 |          5 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\record\index.wxml                            | wxml       |          6 |          1 |          0 |          7 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\record\index.wxss                            | CSS        |         19 |          1 |          0 |         20 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\selectRecord\index.js                        | JavaScript |         45 |          3 |          6 |         54 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\selectRecord\index.json                      | JSON       |          6 |          0 |          0 |          6 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\selectRecord\index.wxml                      | wxml       |         22 |          0 |          1 |         23 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\selectRecord\index.wxss                      | CSS        |         73 |          0 |         11 |         84 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\sumRecordResult\index.js                     | JavaScript |         39 |          3 |          5 |         47 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\sumRecordResult\index.json                   | JSON       |          6 |          0 |          0 |          6 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\sumRecordResult\index.wxml                   | wxml       |         19 |          0 |          1 |         20 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\sumRecordResult\index.wxss                   | CSS        |         64 |          0 |         10 |         74 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\sumRecord\index.js                           | JavaScript |         41 |          3 |          5 |         49 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\sumRecord\index.json                         | JSON       |          6 |          0 |          0 |          6 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\sumRecord\index.wxml                         | wxml       |         21 |          0 |          1 |         22 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\sumRecord\index.wxss                         | CSS        |         73 |          0 |         11 |         84 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecordResult\index.js                  | JavaScript |         70 |          3 |          6 |         79 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecordResult\index.json                | JSON       |          6 |          0 |          0 |          6 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecordResult\index.wxml                | wxml       |         21 |          0 |          1 |         22 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecordResult\index.wxss                | CSS        |         63 |          0 |         10 |         73 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecordSuccess\index.js                 | JavaScript |          9 |          3 |          5 |         17 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecordSuccess\index.json               | JSON       |          6 |          0 |          0 |          6 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecordSuccess\index.wxml               | wxml       |          6 |          0 |          1 |          7 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecordSuccess\index.wxss               | CSS        |         26 |          0 |          4 |         30 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecord\index.js                        | JavaScript |         43 |          3 |          6 |         52 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecord\index.json                      | JSON       |          6 |          0 |          0 |          6 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecord\index.wxml                      | wxml       |         21 |          0 |          1 |         22 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\updateRecord\index.wxss                      | CSS        |         73 |          0 |         11 |         84 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\uploadFile\index.js                          | JavaScript |        134 |         20 |          3 |        157 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\uploadFile\index.json                        | JSON       |          6 |          0 |          0 |          6 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\uploadFile\index.wxml                        | wxml       |         19 |          0 |          0 |         19 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\pages\uploadFile\index.wxss                        | CSS        |         90 |          0 |         10 |        100 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\sitemap.json                                       | JSON       |          7 |          0 |          0 |          7 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\styles\iconfont.wxss                               | CSS        |         25 |          0 |          6 |         31 |
| c:\Users\19332\Desktop\呼吸之友\miniprogram\utils\getCurrentTime.js                            | JavaScript |         40 |          8 |          3 |         51 |
| c:\Users\19332\Desktop\呼吸之友\project.config.json                                            | JSON       |         66 |          0 |          0 |         66 |
| c:\Users\19332\Desktop\呼吸之友\project.private.config.json                                    | JSON       |         96 |          0 |          0 |         96 |
| c:\Users\19332\Desktop\呼吸之友\uploadCloudFunction.bat                                        | Batch      |          1 |          0 |          0 |          1 |
| Total                                                                                      |            |      5,361 |        613 |        556 |      6,530 |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
